id	review_lemmas	food	interior	price	service	whole
10	"быть вчера компания 6 человек в суп - вино столик бронировать заранее ,  что ,  думать ,  всегда стоить делать в такой небольшой ресторан хотеться сказать ,  что мы оставаться очень довольный интерьер приятный ,  абсолютно ненавязчивый ,  уютный ,  высокий столик удобный ,  музыка тихий ,  не мешать общаться меню интересный ,  все очень вкусно ,  приемлемый по цена ,  готовиться очень быстро !!!  много комментарий про плохой обслуживание ,  но они весь старый ,  а вот мы обслуживать очень приятный молодой человек  ,  вежливый и с чувство юмор блюдо меняться незаметно ,  напиток приносить сразу же после заказ мы отлично проводить время ,  с удовольствие прийти еще !!!"	positive	positive	positive	positive	positive
11	"в прошлый суббота посещать с друг этот заведение начиться все не с очень приятный момент ,  т к когда мы приходить туда ,  то оказываться что нет свободный столик и только спустя наверное минута 20 официант все находить мы подходить стол в целое заведение понравиться ,  и обстановка ,  и интерьер ,  и меню из плюс :  достаточно быстро обслуживание несмотря на огромный количество человек ,  хороший атмосфера ( играть диджей )  для субботний вечер ,  большой выбор еда и алкогольный напиток ( хотя мы так и не поесть ,  но алкоголь быть выпивать много ))) минус :  показываться ,  что слишком громко играть музыка ,  отсутствие подсветка над стол ( хотя над некоторый другой свет все же быть ),  из-за что приходиться подсвечивать меню телефон и наверное главный минус для я - это то ,  что в такой большой заведение не оказываться место для гардероб ,  вследствие что наш куртка постоянно падать на пол с диван за наш стол попросить депозит 5 тыс ,  но для большой компания это не так уж много ,  мы ,  например ,  оставлять там 8 тыс но несмотря на весь минус ,  оставаться вполне довольный этот заведение ,  думать что посещать еще не раз ну и приятный мелочь в конец ,  попросить у официант дисконтный карта и он мы она давать так что быть лишний повод зайти и воспользоваться скидка )"	positive	both	positive	positive	both
12	"добрый день мы с молодой человек любить открывать новый место .. разный ресторан .. особенно итальянский быть во многий уже находить по рейтинг ресторан ,  приходить ,  весь гость сидеть на терраса  ( лето весь таки ),  а мы садиться внутри  ( близко к конждиционер )) интерьер очень уютный сидеть прямо напротив кухня  ( где пицца готовить )  около окно быть отзыв ,  что пахнуть кухня .. но я не особо замечать .. да и легкий аромат пицца думать только аппетит прибавлять )  начитываться отзыв ,  что хороший пицца  -  взять именно она ,  и оставаться очень довольный !!  во весь итальянский ресторан брать тирамис ,  хлебный козинка и ... заходить в туалет такой образ я ставить оценка заведение хлеб должный быть свежий ,  тирам таять во рот ,  а на туалет не должный экономить !!  все понравиться ,  десерт волшебный мило посидеть ,  в окно видеть спасать на кровь ... романтик )  официантка вежливый очень напиток приносить быстро ... да и ехать совсем не приходиться ждать в общий большой спасибо за атмосфера и угощение обязательно прийти еще"	positive	positive	absence	positive	positive
13	"добрый вечер начинать сразу ,  я ужасно не понравиться ,  такой отношение в ресторан я давненько не встречать ,  приходить наш компания восемь вечер ,  наш забронировать столик оказываться занимать , с мы не поздороваться , предлагать другой столик ,  на весь ресторан работать один официант ,  наш блюдо мы ждать час ,  притом что для компания который приходить поздно мы ,  все подавать в течение 15 минута , настроение на ноль ... и обещать одеяло на др мы не получать ,  сказать надо предупреждать о др интересно как это нужно делать ,  я же бронировать столик на др ,  как еще предупреждать ??????  двоякий впечатление о место ...  мочь отмечать ,  что сам обстановка и интерьер приятный ,  еда довольно вкусный ,  но вот обслуживание на минус ,  даже не хотеться оставлять чай ... и это быть др ((((("	positive	positive	absence	negative	both
14	"добрый день недавно  ( 22 ноябрь )  посещать этот ресторан ходить вместе с родитель оставаться очень довольный плюс : -  довольно приятный интерьер ,  приглушать ,  мягкий свет ,  тихий музыка  ( не мешать общаться ) -  большой выбор блюдо и довольно разнообразный -  мы очень быстро обслуживать сразу же подавать напиток ,  немногие поздно приносить салат и ,  не успевать мы доедать ,  как становиться подавать горячий причем вино подавать сразу и оно быть уже сильно охлаждать ,  что особенно понравиться -  очень порадовать кухня все быть очень вкусно мы заказывать довольно разнообразный блюдо и понравиться абсолютно все повар отдельный спасибо поесть от душа и в удовольствие ))) -  ну и конечно ,  очень удивлять и порадовать счет ))  мы быть 6 человек ,  заказывать мы салат ,  два вид блюдо с баклажан ,  тоф ,  утка ,  рыба ,  два вид мясо ,  мелочь и плюс алкоголь  ( умеренно )  и обходиться в три с копейка причем порция быть огромный мы переедать ))  минус : -  очень не понравиться ,  что в зал курить а т к зал общий ,  то в итог весь одежда провонять (( -  не очень понравиться туалет вроде чисто ,  но как то не опрятно что ли в целое впечатление очень хороший конечно же ,  мы еще вернуться"	positive	both	positive	positive	positive
15	"быть в этот заведение 10.09 2008 ,  заезжать с муж после работа  -  находить с труд ,  название хороший ,  а вот написать настолько художественно ,  что просто не разбирать  ))  заведение очень приятный ,  маленький уютный  -  но это скоро кафе ,  чем ресторан два этаж  -  на второй намного уютно  ))  мы сразу встречать ,  раздевать ,  проводить и размещать  ))  огромный спасибо гардеробщик - официант - бармен в один лицо ,  симпатичный и дружелюбный афроамериканец  ))  пробовать различный ролл ,  готовить они очень быстро 5 - 10 минута ,  особенно вкусный запекать и филадельфия быд хороший ,  но я не понимать ,  почему ролл быть где 5 ,  где ,  6 ,  а где 7  )))  ценник в этот заведение на мой взгляд ресторанный ,  хотя мочь это из-за то что ролл довольно большой в целое я понравиться  -  очень большой выбор суша ,  ролл ,  салат ,  суп и другой горячий блюдо но сюда я больше не пойти ,  т к быть место ,  где суша готовить хорошо и тщательный"	both	positive	negative	positive	both
16	"случайно зайти в этот заведение с друг сделать заказ мы сидеть на улица ,  на второй этаж в этот время проходить банкет попросить плед проходить 15 минута  -  ни плед ,  ни официант сходить сам ,  забирать плед чай приносить спустя минута 10 после заказ потом ,  спустя минута 20 приносить 1 салат проходить еще минута 20 приносить 1 горячо  ( заказ быть сделать на 6 - х человек ) и вот так весь вечер  ( кто из друг есть ,  а кто-то просто ждать ) -  в общий ,  свой блюдо я получать спустя 1 час 40 минута после заказ  ( овощ ,  приготавливать на уголь ,  можно быть бы приготавливать быстро )  и после 3 поход мой муж к официант порция ,  заявлять в меню явно ,  не соответствовать действительный размер  -  такой порция и ребенок не накормить не советовать никто"	negative	absence	absence	negative	negative
17	"буквально на день отмечать с муж наш небольшой юбилей  -  2 год выбирать для романтический вечер макарен и очень довольный выбор меню отменный ,  столько все ,  что решать заходить часто чтобы попробовать разный блюдо коктейль очень вкусный и необычный ,  быть из что выбирать заказывать салат из язык и морепродукт и паэль с курица и кролик все очень вкусно и сытно ,  порция большой ,  объедаться отличный кальян ,  сполна наслаждаться ,  прекрасный молодой человек кальянщик ,  приветливый ,  помогать определяться с выбор и не прогадывать красивый интерьер ,  быть на второй этаж у окно музыка понравиться ,  не давить громкость как во многий заведение ,  а создавать уютный романтичный атмосфера персонал дружелюбный ,  все улыбаться ,  постоянно подходить убирать со стол ,  предлагать оформлять накопительный скидка ,  что очень даже неплохо в общий ,  спасибо за прекрасный вечер теперь мы ваш постоянный клиент"	positive	positive	absence	positive	positive
18	"быть в суббота 24 ноябрь , знать что народ быть много ,  заранее заказывать столик на 10 человек ( встреча однокурсник народ действительно быть много ,  но столик на пара человек можно быть находить ресторан быть выбирать из тот соображение ,  чтобы быть много место и возможность посидеть большой компаания ,  и весь таки знакомый место интерьер оставлять желать хороший ,  но мочь быть для такой завидение это нормальный ужасно накуривать ,  незнать как у они на счет кондиционер ,  это учитывать что в ресторан быть детский комната и детский меню надо хотя бы сделать для курящий отдельный зона что - ли очень понравиться салат дора - брю ( помидор ,  огурец ,  перец , свежий сырой шампиньон ,  сыр дора - брю ,  масло ),  фирменный блюдо колбаска к пиво ,  который при подача поджигать ,  если честно ,  думать что фирменный блюдо должно быть солидный горячий неплохой ,  но нагриль было непохожий громко играть музыка поэтому офицантка незваться и неслышать иногда блюдо для заказ ,  сидеть ждать 50 мина ,  а оказываться оно не заказывать ждать еще 50 мина  ( так написать вменять время приготовление 40 - 50 мина ) девушка офицантка весь время говорить что она это не готовить быстро не мочь и очень замученый вид в целое неплохо можно зайти попить пиво с колбаска вечер а вот с ребенок хорошо приходить до 15.00 народ мало и детский праздник до этот время"	positive	negative	absence	negative	both
19	"в этот суббота решать с друг куда ни быть сходить , повеселиться , покушать и конечно же выпивать ... вспомнить приятный отзыв о заведение с легко запоминаться имя Amsterdam - cafe позвонить заказывать столик , приезжать ... парень администратор дружелюбный встречать мы и проводить к наш столик не проходить 5 секунда как мы подавать меню , что приятно порадовать ,  так как в заведение с такой скопление народ приходиться очень долго ждать выбор пиво конечно просто смешной ,  к наш сожаление быть предлагать только 2 сорт пиво любимый темный не оказываться ,  официант не растериваться и предлагать коктейль бармен отдельный спасибо угождать все заказывать покушать кухня тоже не огорчать весь быть просто супер , особенно хотеть отмечать большой бургер  -  амстердам мечта детство , кто успевать уже попробовать этот блюдо понимать я вообщий все понравиться , кухня ,  ди-джей , караоке ,  в особенность хотеть поблагодарить персонал за обслуживание так же хотеть сказать то что в первый увидеть как администратор помогать официант где вы видеть что бы администратор полагать трубка телефон подбегать к стол принимать заказ ,  забирать пустой посуда и менять пепельница видно что ребята работать в команда , и делать все что бы ты уходить сытый , отдыхать , довольный и немного пьяный .)))  большой спасибо за радушный прием ждать с нетерпение следующий выходной"	both	positive	absence	positive	positive
20	"отличный кафе !!!!  отмечать в немой свой день рождение с друг все быть замечательно  -  вкусный и обильный еда ,  большой блюдо ,  обстановка ,  вежливый администратор александра небольшой уютный кафе очень низкий цена  ( и это с учет то ,  что место находиться на невский проспект ) я уже не первый раз сюда ходить и всегда очень довольный очень вкусный хачапури с сыр ,  вкусный лосось  ( кусок очень большой и сытный ) и много другой вкусный еда у я весь друг решать сюда приходить еще не раз если говорить о минус :  минус ,  пожалуй ,  один :  внизу не очень красивый антураж по крайний мера ,  я не очень нравиться но ,  наверное ,  это на любитель на верхний этаж все супер !!!!  но зато внизу можно попеть караоке быть ооочень вкусный кальян в общий ,  порекомендовать это место все тот ,  кто хотеть вкусно ,  сытно и не очень дорого отмечать какой-нибудь праздник или просто посидеть вдвоем в уютный обстановка очень - очень довольный !!!!"	positive	both	positive	positive	positive
21	"в этот выходной отмечать день рождение в этот ресторан столик заказывать заранее , попросить посадить уютно - не разочаровывать , посадить именно туда куда и хотеть интерьер очень приятный , играть спокойный музыка кухня очень понравиться , особенно мясо  ( говядина с руккола )  и десерт ( грушевый наполеон ) весь гость оставаться очень довольный , спасибо большой !!!  с обслуживание повезти , попадаться милый девушка , который подробно рассказывать и отвечать на весь вопрос с улыбка прийти еще обязательно"	positive	positive	absence	positive	positive
22	"на день ,  в командировка ,  приезжать коллега по работа и мы ,  вчетвером ,  забредать в этот замечательный ресторанчик на каменоостровский кушать достаточно много ,  очень понравиться кухня я лично заказывать котлетка из лосось с пюре и канадский ролл в общий ,  это не первый мой посещение данный заведение ,  и котлетка и ролл здесь я уже пробовать ,  но на этот раз ,  приготавливать они быть по-другому ,  вкусный и сочный ,  как я показываться ролл вообще быть замечательный ,  сравнение с он не выдерживать бы блюдо из традиционный питерский сетевой заведение японский кухня ))  хотя ,  не знать ,  конечно ,  корректно ли такой сравнение ,  в другой место суша как-то не часто есть приходиться после вопрос официант выясняться ,  что смениться шеф-повар и меню теперь менять расстройство приносить информация о то ,  что котлетка из лосось и креветка хотеть убирать из менять ( коллега так же ,  очень понравиться блюдо в особенность суп из два рыба ,  стейк из лосось и бефстроганов с пюре интерьер тоже поменяться ,  но не особо изменять свой стиль ,  обслуживание ,  как и рано оставаться на достаточно неплохой уровень ,  в общий мы оставаться довольный ,  спасибо я знать ,  что отзыв часто просматривать администратор выкладывать ресторан ,  очень большой просьба к вы ,  пожалуйста не убирать котлетка из меню !!!  спасибо"	positive	positive	absence	positive	positive
23	"не мочь не рассказывать ,  как проходить банкет на мой свадьба итак ,  когда мы приезжать закуска уже быть готовый ,  весь быть вкусно и как должно быть официантка ,  весь делать четко бокал быть полный ,  тарелка пустой во время убираться второй мы заказывать по меню после заказ проходить около пол час ,  а может и больше ,  когда к о я подходить официантка и сказать ,  что на кухня нет свет ,  и надо делать другой заказ на горячий  ( на уголь ) после бракосочетание и прогулка по город ,  как понимать гость всегда голодный да ,  закуска ,  как-то смягчать желание поесть ,  но не на столько ,  чтобы ждать еще час делать быть нечего ,  весь опять садиться за стол и становиться выбирать себя другой блюдо ,  через 20 минута быть сделать еще один заказ и через 30 минута становиться совсем смешно ,  когда ко я подходить администратор и сказать ,  что горячий на уголь не быть быть выполнять первоначальный заказ в тот день я ни что нельзя быть испортить настроение через 15 минута ,  на стол появляться наш заказ тогда уже быть все равный ,  главное накормить гость ,  ну и себя )  торт заказывать заранее  ( наполеон )  не оправдывать мой ожидание ,  ну что ж на вкус и цвет товарищ нет что касаться интерьер ,  то он очень подходить для торжество ,  удаваться поработать с фотограф в интерьер зал VIP рекомендовать ,  но видимо ,  весь кухня надо заказывать заранее а хорошо еще и попробовать"	both	positive	absence	both	both
24	"в пятница отмечать свадьба в этот ресторан т к гость быть немного ,  то просто заказывать столик отлично проводить время хороший кухня и обслуживание ,  приятный атмосфера очень порадовать подарок от шеф-повар для молодой спасибо вы большой все советовать сходить туда ,  цена приемлемый а вечер в пятница и в суббота танцевальный шоу и живой музыка"	positive	positive	positive	positive	positive
25	"быть в этот заведение впервые ,  компания из 4 - х человек столик весь занимать ,  садиться быть проблематичный ,  тесно ,  место мало интерьер ... средненький ,  без изюминка ,  подобный выходить из мода год 5 назад но довольно уютно отдельно хотеть отмечать фоновый музыка  -  хороший громкость  ( небольшой ,  но отчетливый ),  и отличный ,  просто отличный подборка за музыка спасибо  :)  для курящий на улица перед вход стоять скамейка официант встречать ,  усадить ,  быть довольно приветливый меню небольшой ,  но выбор быть  -  как улучшать фаст - фуд ,  так и салат ,  и полноценный горячее ,  много напиток из выбирать блюдо три не оказываться в наличие ,  что напрягать с самый начало время ожидание растягиваться на 35 минута !!  блюдо в результат приносить неравномерно ,  один гость получать свой салат в самый конец ,  когда остальной съедать и суп ,  и второй порция большой ,  подача неплохой ,  но блюдо абсолютно простой ,  не ресторанный резюме :  садиться сложно ,  место мало ,  скорость обслуживание недопустимо низкий ,  блюдо рядовой  -  в комплекс это не подходить ни для кафе перекусить ,  ни для ресторан посидеть больше не пойти"	both	both	absence	negative	negative
