term,category,mark,sentiment,type
Провели,Service,Rel,positive,explicit
Усадили,Service,Rel,positive,explicit
Заказ принимали,Service,Rel,positive,explicit
еду приносили,Service,Rel,positive,explicit
убирали,Service,Rel,positive,explicit
еда,Food,Rel,positive,explicit
заведения,Whole,Rel,neutral,explicit
ничего особенного и не предлагают,Food,Rel,negative,fct
Персонал,Service,Rel,positive,explicit
улыбчивый,Service,Rel,positive,implicit
приветливый,Service,Rel,positive,implicit
Сырная тарелка,Food,Rel,negative,explicit
сыра,Food,Cmpr,neutral,explicit
Салат цезарь,Food,Rel,negative,explicit
капусты,Food,Rel,neutral,explicit
курицы,Food,Rel,neutral,explicit
сухарики,Food,Rel,neutral,explicit
соус,Food,Rel,neutral,explicit
блюд,Food,Rel,positive,explicit
соотношение цена-качество,Price,Rel,positive,explicit
место,Whole,Rel,positive,explicit
ресторана &quot;Крапива&quot;,Whole,Rel,neutral,explicit
рестораном,Whole,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
приятный,Service,Rel,positive,implicit
воспитанный,Service,Rel,positive,implicit
администратор,Service,Rel,positive,explicit
помогала,Service,Rel,positive,implicit
меню,Food,Rel,neutral,explicit
обслуживании,Service,Rel,positive,explicit
официанты,Service,Rel,positive,explicit
внимательно,Service,Rel,positive,implicit
смотрели за столом,Service,Rel,positive,explicit
не было пустых тарелок,Service,Rel,positive,fct
не навязчиво,Service,Rel,positive,implicit
молодой человек,Service,Rel,positive,explicit
ресторан,Whole,Rel,positive,explicit
атмосфера,Interior,Rel,positive,explicit
приятное,Interior,Rel,positive,implicit
заведение,Whole,Rel,positive,explicit
&quot;Крапивы&quot;,Whole,Rel,positive,explicit
кафе,Whole,Rel,neutral,explicit
поварам,Service,Rel,positive,explicit
вкусные,Food,Rel,positive,implicit
блюда,Food,Rel,positive,explicit
бивштексы,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
Готовят очень быстро,Service,Rel,positive,fct
мастера своего дела,Service,Rel,positive,fct
обслуживание,Service,Rel,positive,explicit
атмосферу,Interior,Rel,positive,explicit
гостеприимных,Service,Rel,positive,implicit
официантов,Service,Rel,positive,explicit
уютное,Interior,Rel,positive,implicit
место,Whole,Rel,positive,explicit
кухней,Food,Rel,positive,explicit
доброжелательным,Service,Rel,positive,implicit
персоналом,Service,Rel,positive,explicit
заведении,Whole,Rel,neutral,explicit
сервисом,Service,Rel,positive,explicit
Встретила,Service,Rel,positive,explicit
девушка,Service,Rel,positive,explicit
проводила до нашего столика,Service,Rel,positive,fct
персонал,Service,Rel,positive,explicit
улыбался,Service,Rel,positive,implicit
здоровался,Service,Rel,positive,implicit
официант,Service,Rel,positive,explicit
утку по-пекински,Food,Rel,neutral,explicit
салата,Food,Rel,neutral,explicit
свинину в кисло-сладком соусе,Food,Rel,neutral,explicit
свинину,Food,Rel,neutral,explicit
кальян,Food,Rel,neutral,explicit
вина,Food,Rel,neutral,explicit
десерт,Food,Rel,neutral,explicit
Утка,Food,Rel,negative,explicit
Утка оказалась очень маленькой,Food,Rel,negative,fct
объедятся,Food,Irr,positive,explicit
вкусно,Food,Rel,positive,implicit
Свинина,Food,Rel,negative,explicit
ресторанах,Whole,Cmpr,positive,explicit
вкуснее,Food,Cmpr,positive,implicit
ресторан,Whole,Rel,negative,explicit
не из дешевых,Price,Rel,negative,implicit
цены,Price,Rel,negative,explicit
меню,Food,Cmpr,negative,explicit
порции,Food,Rel,negative,explicit
впечатление,Whole,Rel,both,explicit
обслуживание,Service,Rel,positive,explicit
вкусной,Food,Irr,positive,implicit
еды,Food,Irr,positive,explicit
пабе,Whole,Rel,positive,explicit
место,Whole,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
комфортный,Interior,Rel,positive,implicit
Атмосфера,Interior,Rel,positive,explicit
обслуживания,Service,Rel,positive,explicit
официант,Service,Rel,neutral,explicit
принес меню,Service,Rel,neutral,explicit
выбор пива,Food,Rel,positive,explicit
алкоголя,Food,Rel,positive,explicit
закусок,Food,Rel,positive,explicit
блюд,Food,Rel,positive,explicit
меню,Food,Rel,positive,explicit
пабе,Whole,Rel,neutral,explicit
забывчивость,Service,Rel,negative,implicit
официантки,Service,Rel,negative,explicit
дождался,Service,Rel,negative,implicit
после третьей просьбы,Service,Rel,negative,fct
вежливым,Service,Rel,positive,implicit
обслуживанием,Service,Rel,positive,explicit
пиво,Food,Rel,positive,explicit
наивкуснейшее,Food,Rel,positive,implicit
Коктейли,Food,Rel,positive,explicit
гренкам,Food,Rel,positive,explicit
стейку,Food,Rel,positive,explicit
цезаре,Food,Rel,negative,explicit
приправ,Food,Rel,negative,explicit
суши,Food,Rel,negative,explicit
блюдо,Food,Cmpr,neutral,explicit
ждать счет,Service,Rel,negative,explicit
сдачу ждали,Service,Rel,negative,explicit
ценам,Price,Rel,positive,explicit
заведений,Whole,Cmpr,neutral,explicit
не завышенные,Price,Rel,positive,implicit
меню,Food,Rel,neutral,explicit
салат с рыбой,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
холодные закуски,Food,Rel,positive,explicit
горЯчее,Food,Rel,positive,explicit
кухня,Food,Rel,positive,explicit
уютный,Interior,Rel,positive,implicit
интерьер,Interior,Rel,positive,explicit
музыка,Interior,Rel,positive,explicit
Персонал,Service,Rel,positive,explicit
приветливый,Service,Rel,positive,implicit
администратор,Service,Rel,positive,explicit
официанты,Service,Rel,positive,explicit
сервис,Service,Rel,positive,explicit
ничего не напрягало,Service,Rel,positive,fct
ресторан,Whole,Rel,positive,explicit
заказали столик,Service,Rel,neutral,explicit
посадили,Service,Rel,negative,explicit
Официанты,Service,Rel,positive,explicit
не навязчивые,Service,Rel,positive,implicit
сервис,Service,Rel,positive,explicit
кухни,Food,Rel,negative,explicit
мясо,Food,Rel,neutral,explicit
ждали минут30,Service,Rel,negative,fct
интерьер,Interior,Rel,positive,explicit
персонал,Service,Rel,positive,explicit
кухня,Food,Rel,negative,explicit
не вкусная,Food,Rel,negative,implicit
ресторанчик,Whole,Rel,positive,explicit
не кормили по-настоящему,Food,Cmpr,negative,fct
&quot;Квартиру №55&quot;,Whole,Rel,positive,explicit
Накормили,Food,Rel,positive,explicit
напоили,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
сервис,Service,Cmpr,neutral,explicit
обслуживание,Service,Cmpr,neutral,explicit
не &quot;обслуживали&quot;,Service,Irr,negative,explicit
радушно,Service,Rel,positive,implicit
встречали,Service,Rel,positive,explicit
по-домашнему,Service,Rel,positive,implicit
Помогли с заказом,Service,Rel,positive,explicit
посоветовали,Service,Rel,positive,explicit
недорогое,Price,Rel,positive,implicit
вино,Food,Rel,positive,explicit
заказ принесли не быстро,Service,Rel,negative,fct
ресторане,Whole,Rel,neutral,explicit
занято всего 2 столика,Interior,Rel,positive,fct
пили,Food,Rel,neutral,explicit
чай,Food,Rel,neutral,explicit
Салаты,Food,Rel,neutral,explicit
готовили минут 20,Service,Rel,negative,fct
ждали горячее,Service,Rel,negative,fct
горячее,Food,Rel,neutral,explicit
вина,Food,Rel,neutral,explicit
пожарские котлеты,Food,Rel,positive,explicit
тушеная телятина,Food,Rel,positive,explicit
буженину на гриле,Food,Rel,positive,explicit
Салаты,Food,Rel,neutral,explicit
сытные,Food,Rel,positive,implicit
вкусные,Food,Rel,positive,implicit
Порции,Food,Rel,neutral,explicit
наелись,Food,Rel,positive,implicit
десерту,Food,Irr,neutral,explicit
официант,Service,Rel,neutral,explicit
десерты,Food,Irr,positive,explicit
квартиру,Whole,Rel,positive,explicit
персоналу,Service,Rel,positive,explicit
ресторана,Whole,Rel,positive,explicit
ужин,Food,Rel,positive,explicit
Суп-вино,Whole,Rel,neutral,explicit
Столик бронировали,Service,Rel,neutral,explicit
ресторанах,Whole,Cmpr,neutral,explicit
Интерьер,Interior,Rel,positive,explicit
ненавязчивый,Interior,Rel,positive,implicit
уютный,Interior,Rel,positive,implicit
столики,Interior,Rel,positive,explicit
удобны,Interior,Rel,positive,implicit
музыка,Interior,Rel,positive,explicit
Меню,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
цене,Price,Rel,positive,explicit
готовится,Food,Rel,positive,implicit
быстро,Service,Rel,positive,implicit
обслуживание,Service,Prev,negative,explicit
обслуживал,Service,Rel,positive,explicit
молодой человек,Service,Rel,positive,explicit
вежливый,Service,Rel,positive,implicit
с чувством юмора,Service,Rel,positive,implicit
Блюда менялись незаметно,Service,Rel,positive,fct
Блюда,Food,Rel,neutral,explicit
напитки принесли сразу,Service,Rel,positive,fct
напитки,Food,Rel,neutral,explicit
заведение,Whole,Rel,neutral,explicit
нет свободных столиков,Interior,Rel,negative,fct
официант все нашел нам подходящий стол,Service,Rel,positive,fct
официант,Service,Rel,positive,explicit
заведение,Whole,Rel,positive,explicit
обстановка,Interior,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
меню,Food,Rel,positive,explicit
быстро,Service,Rel,positive,implicit
обслуживание,Service,Rel,positive,explicit
огромное количество людей,Interior,Rel,negative,fct
атмосфера,Interior,Rel,positive,explicit
играли диджеи,Interior,Rel,positive,fct
большой выбор еды,Food,Rel,positive,fct
еды,Food,Rel,positive,explicit
алкогольных напитков,Food,Rel,positive,explicit
алкоголя,Food,Rel,neutral,explicit
выпито,Food,Rel,neutral,explicit
музыка,Interior,Rel,negative,explicit
отсутствие подсветки над столом,Interior,Rel,negative,fct
подсвечивать меню телефоном,Interior,Rel,negative,fct
заведении,Whole,Rel,negative,explicit
не оказалось место для гардероба,Interior,Rel,negative,fct
депозит 5 тыс,Price,Rel,positive,explicit
заведением,Whole,Rel,positive,explicit
официанта,Service,Rel,positive,explicit
скидкой,Price,Prev,positive,implicit
места,Whole,Cmpr,neutral,explicit
рестораны,Whole,Cmpr,neutral,explicit
ресторан,Whole,Rel,neutral,explicit
Интерьер,Interior,Rel,positive,explicit
уютный,Interior,Rel,positive,implicit
пиццу,Food,Rel,neutral,explicit
пахнет кухней,Interior,Prev,negative,fct
пицца,Food,Rel,positive,explicit
ресторанах,Whole,Cmpr,neutral,explicit
тирамису,Food,Cmpr,neutral,explicit
хлебную козинку,Food,Cmpr,neutral,explicit
туалет,Interior,Cmpr,neutral,explicit
заведению,Whole,Cmpr,neutral,explicit
Хлеб,Food,Cmpr,positive,explicit
свежий,Food,Cmpr,positive,implicit
тираму,Food,Cmpr,positive,explicit
таять во рту,Food,Cmpr,positive,implicit
десерт,Food,Rel,positive,explicit
Официантка,Service,Rel,positive,explicit
вежливая,Service,Rel,positive,implicit
Напитки принесла быстро,Service,Rel,positive,fct
Напитки,Food,Rel,neutral,explicit
еду совсем не пришлось ждать,Service,Rel,positive,fct
еду,Food,Rel,neutral,explicit
атмосферу,Interior,Rel,positive,explicit
угощения,Food,Rel,positive,explicit
придем еще,Whole,Rel,positive,fct
отношения,Service,Rel,negative,explicit
ресторанах,Whole,Cmpr,neutral,explicit
забронированный столик оказался занят,Service,Rel,negative,fct
не поздоровались,Service,Rel,negative,fct
предложили другой столик,Service,Rel,negative,fct
на весь ресторан работал один официант,Service,Rel,negative,fct
официант,Service,Rel,negative,explicit
блюда мы ждали час,Service,Rel,negative,fct
подали в течение 15 минут,Service,Cmpr,positive,fct
бронировала столик,Service,Rel,neutral,explicit
обстановка,Interior,Rel,positive,explicit
интерьер,Interior,Rel,positive,explicit
еда,Food,Rel,positive,explicit
вкусная,Food,Rel,positive,implicit
обслуживание,Service,Rel,negative,explicit
ресторан,Whole,Rel,neutral,explicit
интерьер,Interior,Rel,positive,explicit
свет,Interior,Rel,positive,explicit
музыка,Interior,Rel,positive,explicit
Большой выбор,Food,Rel,positive,fct
блюд,Food,Rel,positive,explicit
обслужили,Service,Rel,positive,explicit
Сразу же подали напитки,Service,Rel,positive,fct
напитки,Food,Rel,neutral,explicit
немногим позже принесли салаты,Service,Rel,positive,fct
салаты,Food,Rel,neutral,explicit
`не успели мы доесть, как стали подавать горячее`,Service,Rel,positive,fct
горячее,Food,Rel,neutral,explicit
вино подали сразу,Service,Rel,positive,fct
вино,Food,Rel,positive,explicit
кухня,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
блюда,Food,Rel,positive,explicit
Поварам,Food,Rel,positive,explicit
Поели,Food,Rel,positive,explicit
счет,Price,Rel,positive,explicit
салаты,Food,Rel,neutral,explicit
блюд с баклажанами,Food,Rel,neutral,explicit
тофу,Food,Rel,neutral,explicit
утку,Food,Rel,neutral,explicit
рыбу,Food,Irr,neutral,explicit
мяса,Food,Rel,neutral,explicit
алкоголь,Food,Rel,neutral,explicit
обошлось в три с копейками,Price,Rel,positive,fct
порции,Food,Rel,positive,explicit
в зале курят,Interior,Rel,negative,fct
туалеты,Interior,Rel,negative,explicit
чисто,Interior,Rel,positive,implicit
не опрятно,Interior,Rel,negative,implicit
заведении,Whole,Rel,neutral,explicit
Заведение,Whole,Rel,positive,explicit
уютное,Interior,Rel,positive,implicit
уютнее,Interior,Rel,positive,implicit
встретили,Service,Rel,positive,explicit
гардеробщику-официанту-бармену,Service,Rel,positive,explicit
симпатичному,Service,Rel,positive,implicit
дружелюбному,Service,Rel,positive,implicit
афроамериканцу,Service,Rel,positive,explicit
роллы,Food,Rel,positive,explicit
готовили,Food,Rel,positive,explicit
вкусные,Food,Rel,positive,implicit
запеченные,Food,Rel,positive,explicit
филадельфия,Food,Rel,positive,explicit
роллов,Food,Rel,negative,explicit
Ценник,Price,Rel,negative,explicit
заведении,Whole,Rel,negative,explicit
роллы,Food,Rel,both,explicit
большой выбор,Food,Rel,positive,fct
суши,Food,Rel,positive,explicit
роллов,Food,Rel,positive,explicit
салатов,Food,Rel,positive,explicit
супов,Food,Rel,positive,explicit
горячих блюд,Food,Irr,positive,explicit
больше не пойду,Whole,Rel,negative,fct
места,Whole,Cmpr,positive,explicit
суши готовят,Food,Cmpr,positive,explicit
тщательнее,Food,Cmpr,positive,implicit
заведение,Whole,Rel,positive,explicit
втором этаже,Interior,Rel,neutral,explicit
официанта,Service,Rel,negative,explicit
Сходили сами,Service,Rel,negative,fct
пледы,Service,Rel,negative,explicit
Чай,Food,Rel,neutral,explicit
принесли,Service,Rel,negative,explicit
салат,Food,Rel,neutral,explicit
принесли,Service,Rel,negative,explicit
горячее,Food,Rel,neutral,explicit
`кто из друзей ел, а кто-то просто ждал`,Service,Rel,negative,fct
блюдо,Food,Rel,neutral,explicit
заказа,Service,Rel,negative,explicit
`овощи, приготовленные на углях`,Food,Rel,negative,explicit
Порции,Food,Rel,negative,explicit
такой порцией и ребенка не накормишь,Service,Rel,negative,fct
романтического,Interior,Irr,positive,implicit
Макарену,Whole,Rel,positive,explicit
Меню,Food,Rel,positive,explicit
блюда,Food,Rel,positive,explicit
Коктейли,Food,Rel,positive,explicit
вкусные,Food,Rel,positive,implicit
есть из чего выбрать,Food,Rel,positive,fct
салаты из языка и морепродуктов,Food,Rel,neutral,explicit
паэлью с курицей и кроликом,Food,Rel,neutral,explicit
вкусно,Food,Rel,positive,implicit
сытно,Food,Rel,positive,implicit
порции,Food,Rel,positive,explicit
порции большие,Food,Rel,positive,fct
объелись,Food,Rel,positive,implicit
кальян,Food,Rel,positive,explicit
кальянщик,Service,Rel,positive,explicit
приветливый,Service,Rel,positive,implicit
интерьер,Interior,Rel,positive,explicit
Музыка,Interior,Rel,positive,explicit
не давит громкостью,Interior,Rel,positive,fct
уютную,Interior,Rel,positive,implicit
романтичную,Interior,Rel,positive,implicit
атмосферу,Interior,Rel,positive,explicit
Персонал,Service,Rel,positive,explicit
дружелюбный,Service,Rel,positive,implicit
улыбаются,Service,Rel,positive,implicit
убирают со стола,Service,Rel,positive,fct
накопительную скидку,Service,Rel,positive,explicit
вечер,Whole,Rel,positive,explicit
народу будет много,Interior,Prev,negative,fct
заказали столик,Service,Rel,neutral,explicit
Народу действительно было много,Interior,Rel,negative,fct
Ресторан,Whole,Rel,neutral,explicit
много места,Interior,Rel,positive,fct
Интерьер,Interior,Rel,negative,explicit
накурено,Interior,Rel,negative,fct
кондиционеров,Interior,Rel,negative,explicit
детская комната,Service,Rel,neutral,explicit
салат Дор-брю,Food,Rel,positive,explicit
помидоры,Food,Rel,positive,explicit
огурцы,Food,Rel,positive,explicit
перец,Food,Rel,positive,explicit
свежие сырые шампиньоны,Food,Rel,positive,explicit
сыр Дор-брю,Food,Rel,positive,explicit
масло,Food,Rel,positive,explicit
Фирменное блюдо колбаски к пиву,Food,Rel,positive,explicit
фирменное блюдо,Food,Rel,both,explicit
Горячее,Food,Rel,both,explicit
Громко играет музыка,Interior,Rel,negative,fct
музыка,Interior,Rel,negative,explicit
офицанток,Service,Rel,negative,explicit
неслышат,Service,Rel,negative,fct
Девушка офицантка,Service,Rel,negative,explicit
пиво с колбасками,Food,Rel,positive,explicit
покушать,Food,Rel,neutral,explicit
выпить,Food,Rel,neutral,explicit
заведении,Whole,Prev,positive,explicit
заказали столик,Service,Rel,neutral,explicit
администратор,Service,Rel,positive,explicit
дружелюбно,Service,Rel,positive,implicit
встретил,Service,Rel,positive,explicit
подали меню,Service,Rel,positive,explicit
заведениях,Whole,Cmpr,negative,explicit
скоплением народа,Interior,Cmpr,negative,fct
долго ждать,Service,Cmpr,negative,fct
Выбор пива,Food,Rel,negative,explicit
пива,Food,Rel,negative,explicit
темного,Food,Rel,negative,explicit
официант,Service,Rel,positive,explicit
не растерялся,Service,Rel,positive,fct
коктейли,Food,Rel,neutral,explicit
Бармену,Service,Rel,positive,explicit
Заказали,Service,Rel,neutral,explicit
покушать,Food,Rel,neutral,explicit
Кухня,Food,Rel,positive,explicit
Большой бургер - Амстердам,Food,Rel,positive,explicit
блюдо,Food,Rel,positive,explicit
кухня,Food,Rel,positive,explicit
ди-джей,Interior,Rel,positive,explicit
караоке,Interior,Rel,positive,explicit
персонал,Service,Rel,positive,explicit
обслуживание,Service,Rel,positive,explicit
администратор,Service,Rel,positive,explicit
официантам,Service,Rel,neutral,explicit
администратор,Service,Rel,positive,explicit
принимает заказ,Service,Rel,positive,explicit
забирает пустую посуду,Service,Rel,positive,fct
меняет пепельницы,Service,Rel,positive,fct
ребята,Service,Rel,positive,explicit
сытым,Food,Rel,positive,implicit
прием,Service,Rel,positive,explicit
кафе,Whole,Rel,positive,explicit
вкусная,Food,Rel,positive,implicit
еда,Food,Rel,positive,explicit
блюда,Food,Rel,positive,explicit
обстановка,Interior,Rel,positive,explicit
администратор,Service,Rel,positive,explicit
уютное,Interior,Rel,positive,implicit
кафе,Whole,Rel,positive,explicit
цены,Price,Rel,positive,explicit
вкусные,Food,Rel,positive,implicit
хачапури с сыром,Food,Rel,positive,explicit
вкусный,Food,Rel,positive,implicit
лосось,Food,Rel,positive,explicit
кусок,Food,Rel,positive,explicit
сытный,Food,Rel,positive,implicit
вкусной,Food,Rel,positive,implicit
еды,Food,Rel,positive,explicit
прийти еще не раз,Whole,Rel,positive,fct
антураж,Interior,Rel,negative,explicit
верхнем этаже,Interior,Rel,positive,explicit
попеть караоке,Interior,Rel,positive,fct
караоке,Interior,Rel,positive,explicit
вкусный,Food,Rel,positive,implicit
кальян,Food,Rel,positive,explicit
место,Whole,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
сытно,Food,Rel,positive,implicit
не очень дорого,Price,Rel,positive,implicit
уютной,Interior,Rel,positive,implicit
обстановке,Interior,Cmpr,positive,explicit
ресторане,Whole,Rel,neutral,explicit
Столик заказала,Service,Rel,neutral,explicit
поуютнее,Interior,Irr,positive,implicit
Интерьер,Interior,Rel,positive,explicit
музыка,Interior,Rel,positive,explicit
Кухня,Food,Rel,positive,explicit
мясо,Food,Rel,positive,explicit
говядина с рукколой,Food,Rel,positive,explicit
десерты,Food,Rel,positive,explicit
грушевый наполеон,Food,Rel,positive,explicit
остались очень довольны,Whole,Rel,positive,fct
обслуживанием,Service,Rel,positive,explicit
девушка,Service,Rel,positive,explicit
отвечала на все вопросы,Service,Rel,positive,fct
ресторанчик,Whole,Rel,neutral,explicit
кухня,Food,Rel,positive,explicit
котлетки из лосося с пюре,Food,Rel,neutral,explicit
канадский ролл,Food,Rel,neutral,explicit
заведения,Whole,Prev,positive,explicit
котлетки,Food,Prev,neutral,explicit
роллы,Food,Prev,neutral,explicit
вкуснее,Food,Rel,positive,implicit
сочнее,Food,Rel,positive,implicit
Ролл,Food,Rel,positive,explicit
блюда,Food,Cmpr,negative,explicit
сетевых заведений японской кухни,Whole,Cmpr,negative,explicit
суши,Food,Cmpr,neutral,explicit
официанту,Service,Rel,neutral,explicit
шеф-повар,Service,Rel,neutral,explicit
меню,Food,Rel,neutral,explicit
котлетки из лосося и креветок,Food,Rel,positive,explicit
блюда,Food,Rel,positive,explicit
суп из двух рыб,Food,Rel,positive,explicit
стейк из лосося,Food,Rel,positive,explicit
бефстроганов с пюре,Food,Rel,positive,explicit
Интерьер,Interior,Rel,positive,explicit
обслуживание,Service,Rel,positive,explicit
администраторы,Service,Cmpr,neutral,explicit
ресторанов,Whole,Cmpr,neutral,explicit
котлетки,Food,Rel,positive,explicit
закуски,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
Официантка,Service,Rel,positive,explicit
Бокалы были полны,Service,Rel,positive,fct
тарелки пустые во время убирались,Service,Rel,positive,fct
убирались,Service,Rel,positive,explicit
Второе,Food,Rel,neutral,explicit
официантка,Service,Rel,neutral,explicit
кухне нет света,Food,Rel,negative,fct
другой заказ,Service,Rel,negative,fct
горячее,Food,Rel,neutral,explicit
закуски,Food,Rel,positive,explicit
ждать еще час,Service,Rel,negative,fct
блюда,Food,Rel,negative,explicit
сделан еще один заказ,Service,Rel,negative,fct
администратор,Service,Rel,neutral,explicit
горячего на углях не будет,Service,Rel,negative,fct
выполнен первоначальный заказ,Service,Rel,positive,fct
появился наш заказ,Service,Rel,positive,fct
заказ,Service,Rel,positive,explicit
Торт,Food,Rel,negative,explicit
заказанный заранее,Service,Rel,neutral,explicit
наполеон,Food,Rel,negative,explicit
интерьера,Interior,Rel,positive,explicit
интерьерах,Interior,Rel,positive,explicit
кухню,Food,Rel,neutral,explicit
ресторане,Whole,Rel,neutral,explicit
заказали столик,Service,Rel,neutral,explicit
провели время,Whole,Rel,positive,explicit
кухня,Food,Rel,positive,explicit
обслуживание,Service,Rel,positive,explicit
атмосфера,Interior,Rel,positive,explicit
подарок от шеф-повара,Service,Rel,positive,explicit
цены,Price,Rel,positive,explicit
танцевальное шоу,Interior,Rel,positive,fct
живая музыка,Interior,Rel,positive,fct
заведении,Whole,Rel,neutral,explicit
Столики все заняты,Interior,Rel,negative,fct
сесть было проблематично,Interior,Rel,negative,fct
тесно,Interior,Rel,negative,implicit
места мало,Interior,Rel,negative,implicit
Интерьер,Interior,Rel,negative,explicit
уютно,Interior,Rel,positive,implicit
музыку,Interior,Rel,positive,explicit
музыку,Interior,Rel,positive,explicit
Официанта,Service,Rel,positive,explicit
приветлива,Service,Rel,positive,implicit
Меню,Food,Rel,positive,explicit
фаст-фуд,Food,Rel,positive,explicit
салаты,Food,Rel,neutral,explicit
горячее,Food,Rel,positive,explicit
напитков,Food,Rel,positive,explicit
блюд,Food,Rel,negative,explicit
не оказалось в наличии,Food,Rel,negative,fct
Время ожидания,Service,Rel,negative,explicit
Блюда,Food,Rel,neutral,explicit
принесли неравномерно,Service,Rel,negative,fct
салат,Food,Rel,neutral,explicit
суп,Food,Rel,neutral,explicit
второе,Food,Rel,neutral,explicit
Порции,Food,Rel,positive,explicit
подача,Service,Rel,positive,explicit
блюда,Food,Rel,negative,explicit
места мало,Interior,Rel,negative,implicit
скорость обслуживания,Service,Rel,negative,explicit
блюда,Food,Rel,negative,explicit
кафе,Whole,Cmpr,neutral,explicit
перекусить,Food,Cmpr,neutral,explicit
ресторана,Whole,Cmpr,neutral,explicit
Больше не пойдем,Whole,Rel,negative,fct
суп,Food,Rel,positive,explicit
вкусно,Food,Rel,positive,implicit
кухню,Food,Rel,positive,explicit
комплимент от шеф повара,Service,Rel,positive,fct
спагетти,Food,Rel,positive,explicit
пол порции,Food,Rel,neutral,explicit
ресторан,Whole,Rel,neutral,explicit
интерьер,Interior,Rel,positive,explicit
уютно,Interior,Rel,positive,implicit
ресторане,Whole,Rel,neutral,explicit
ресторан,Whole,Rel,neutral,explicit
проводили,Service,Rel,positive,explicit
заказала столик,Service,Rel,neutral,explicit
Второй этаж,Interior,Rel,positive,explicit
красивый,Interior,Rel,positive,implicit
интерьер,Interior,Rel,positive,explicit
уютный,Interior,Rel,positive,implicit
меню,Food,Rel,positive,explicit
рыбе,Food,Rel,positive,explicit
пиццу,Food,Cmpr,neutral,explicit
покушать,Food,Rel,neutral,explicit
местах,Whole,Cmpr,neutral,explicit
паста,Food,Cmpr,neutral,explicit
суп,Food,Cmpr,neutral,explicit
Цены на вино,Price,Rel,negative,explicit
ресторана,Whole,Rel,neutral,explicit
едой,Food,Rel,neutral,explicit
дорого,Price,Rel,negative,implicit
кухня,Food,Rel,both,explicit
обслуживания,Service,Rel,negative,explicit
тарелки убирались,Service,Rel,positive,explicit
девушек,Service,Rel,negative,explicit
порасторопнее,Service,Irr,positive,implicit
поживее,Service,Irr,positive,implicit
обслуживания,Service,Rel,negative,explicit
приема,Service,Rel,negative,explicit
вкусно,Food,Rel,positive,implicit
подано,Service,Rel,positive,explicit
обслуживание,Service,Rel,negative,explicit
ресторане &quot;На горке&quot;,Whole,Rel,neutral,explicit
менеджером,Service,Rel,positive,explicit
отвечала на все наши вопросы,Service,Rel,positive,fct
шла нам на встречу,Service,Rel,positive,fct
Обслуживанием,Service,Rel,positive,explicit
ресторан,Whole,Rel,positive,explicit
еду,Food,Prev,positive,explicit
вкусной,Food,Prev,positive,implicit
кухня,Food,Rel,neutral,explicit
