class	query	query_parsed	infinitive
1	в каком городе будет проходить чемпионат мира по футболу 2018	PR= APRO=(пр,ед,муж|пр,ед,сред) S,муж,неод=пр,ед V,нп=непрош,ед,изъяв,3-л V=(инф,сов,пе|инф,несов,пе) S,муж,неод=(вин,ед|им,ед) S,муж,неод=род,ед PR= S,муж,неод=дат,ед 	1
1	любовь нельзя купить	S,жен,неод=(вин,ед|им,ед) ADV,прдк= V,сов,пе=инф 	1
1	как перекинуть мотор 603 на 606 тд	CONJ= V,пе=инф,сов S,муж,неод=(вин,ед|им,ед) PR= 	1
1	сколько должен быть половой член в 16 лет	ADV= A=ед,кр,муж V,нп=инф,несов A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,муж,од=им,ед PR= S,муж,неод=род,мн 	1
1	смотреть текст рассказа майская ночь или утопленница	V,несов,пе=инф S,муж,неод=(вин,ед|им,ед) S,муж,неод=род,ед A=им,ед,полн,жен S,жен,неод=(вин,ед|им,ед) CONJ= S,жен,од=им,ед 	1
1	кто написал каму на руси жить хорошо	SPRO,ед,муж,од=им V,сов,пе=прош,ед,изъяв,муж S,гео,жен,неод=вин,ед PR= S,гео,ед,жен,неод=(пр|дат|род) V,несов,нп=инф ADV=вводн 	1
1	можно ли в риге в аэпорту сдать вещи в багаж	ADV,прдк= PART= PR= S,жен,неод=(пр,ед|дат,ед) PR= S,муж,неод=(дат,ед|местн,ед) V,пе=инф,сов S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) PR= S,муж,неод=(вин,ед|им,ед) 	1
1	место встречи изменить нельзя	S,сред,неод=(вин,ед|им,ед) S,жен,неод=(вин,мн|род,ед|им,мн) V,пе=инф,сов ADV,прдк= 	1
1	сколько примерно нужно качаться что бы получить первоначальный результат	ADV= ADV= ADV,прдк= V,несов,нп=инф CONJ= PART= V,пе=инф,сов A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) 	1
1	сложить 2 римских числа как правило вычесть	V,пе=инф,сов A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,сред,неод=(вин,мн|род,ед|им,мн) CONJ= S,сред,неод=(вин,ед|им,ед) V,сов,пе=инф 	1
1	найти пословицу к рассказу девочка с планеты земля	V=инф,сов,пе S,жен,неод=вин,ед PR= S,муж,неод=дат,ед S,жен,од=им,ед PR= S,жен,неод=(вин,мн|род,ед|им,мн) S,жен,неод=им,ед 	1
1	восстанавливаться	V,нп=инф,несов 	1
1	как выявить подставного свидетеля	ADVPRO= V,пе=инф,сов A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,од=(вин,ед|род,ед) 	1
1	каждая кухарка может управлять государством	APRO=им,ед,жен S,жен,од=им,ед V,несов,нп=непрош,ед,изъяв,3-л V,несов,нп=инф S,сред,неод=твор,ед 	1
1	ругаться литературными словами	V,несов,нп=инф A=твор,мн,полн S,сред,неод=твор,мн 	1
1	написать отзыв на книгу тимур и его команда	V,сов,пе=инф S,муж,неод=(вин,ед|им,ед) PR= S,жен,неод=вин,ед S,имя,муж,од=им,ед CONJ= APRO=(пр,мн|дат,мн|род,мн|твор,мн|им,мн|им,ед,жен|вин,ед,муж,од|род,ед,муж|род,ед,сред|вин,ед,сред|им,ед,сред|пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен|пр,ед,муж|пр,ед,сред|дат,ед,муж|дат,ед,сред|вин,ед,жен|вин,мн,неод|вин,ед,муж,неод|им,ед,муж|твор,ед,муж|твор,ед,сред|вин,мн,од|пр,мн,сред|вин,мн,сред|дат,мн,сред|род,мн,сред|твор,мн,сред|им,мн,сред|пр,мн,муж|вин,мн,муж|вин,ед,муж|дат,мн,муж) S,жен,неод=им,ед 	1
1	что такое работать в облаках	SPRO,ед,сред,неод=(вин|им) APRO=(вин,ед,сред|им,ед,сред) V,несов,нп=инф PR= S,сред,неод=пр,мн 	1
1	электронная музыка 2009 года альбомами скачать бесплатно	A=им,ед,полн,жен S,жен,неод=им,ед S,муж,неод=(вин,мн|род,ед|им,мн) S,муж,неод=твор,мн V,сов,пе=инф ADV= 	1
1	кокетничать	V,несов,нп=инф 	1
1	как будет по английски добро пожаловать в ад	ADVPRO= V,нп=непрош,ед,изъяв,3-л PR= ADV= S,ед,сред,неод=(вин|им) V,сов,пе=инф PR= S,ед,муж,неод=(вин|им) 	1
1	мы должны защитить само существование нашего народа и будущее для белых детей	SPRO,мн,1-л=им A=мн,кр V,пе=инф,сов APRO=(вин,ед,сред|им,ед,сред) S,сред,неод=(вин,ед|им,ед) APRO=(вин,ед,муж,од|род,ед,муж|род,ед,сред) S,муж,неод=род,ед CONJ= S,сред,неод=(вин,ед|им,ед) PR= A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,од=(вин,мн|род,мн) 	1
1	где в алмате находить улица утеген батыра	ADVPRO= PR= S,имя,муж,од=пр,ед V=инф,несов S,жен,неод=им,ед S,сред,неод=род,мн S,муж,од=(вин,ед|род,ед) 	1
1	до какого числа будет идти терминатор генезис	PR= APRO=(вин,ед,муж,од|род,ед,муж|род,ед,сред) S,сред,неод=(вин,мн|род,ед|им,мн) V,нп=непрош,ед,изъяв,3-л V,несов,нп=инф S,муж,неод=(вин,ед|им,ед) S,муж,неод=(вин,ед|им,ед) 	1
1	скачать игру ан тернер	V,сов,пе=инф S,жен,неод=вин,ед CONJ= S,фам,муж,од=им,ед 	1
1	достигнуть апогея	V=инф,сов S,муж,неод=род,ед 	1
1	найти рассказ приключения желтого чемоданчика	V=инф,сов,пе S,муж,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=род,ед 	1
1	убрать из друзей википедия	V=инф,сов PR= S,муж,од=(вин,мн|род,мн) S,жен,неод=им,ед 	1
1	как написать бийск на английском	CONJ= V,сов,пе=инф S,гео,муж,неод=(вин,ед|им,ед) PR= A=(пр,ед,полн,муж|пр,ед,полн,сред) 	1
1	как определить физический износ зданий по нормативам в республике казахстан	ADVPRO= V,пе=инф,сов A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) S,сред,неод=род,мн PR= S,муж,неод=дат,мн PR= S,жен,неод=(пр,ед|дат,ед) S,гео,муж,неод=(вин,ед|им,ед) 	1
1	стибрить	V,сов,пе=инф 	1
1	получить справку о крещении в православной церкви кривой рог	V,пе=инф,сов S,жен,неод=вин,ед PR= S,сред,неод=пр,ед PR= A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) A=(вин,ед,полн,муж,неод|им,ед,полн,муж|пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,муж,неод=(вин,ед|им,ед) 	1
1	ориентироваться	V,нп=(инф,несов|инф,сов) 	1
1	смотреть футбол днепр могилев фк лида	V,несов,пе=инф S,муж,неод=(вин,ед|им,ед) S,гео,муж,неод=(вин,ед|им,ед) S,гео,муж,неод=(вин,ед|им,ед) S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,имя,жен,од=им,ед 	1
1	саншайн перевести	ADV= V,сов=инф 	1
1	как получить напалм	ADVPRO= V,пе=инф,сов S,муж,неод=(вин,ед|им,ед) 	1
1	какое давление масла должно быть в двигателе уаз-3303	APRO=(вин,ед,сред|им,ед,сред) S,сред,неод=(вин,ед|им,ед) S,сред,неод=(вин,мн|род,ед|им,мн) ADV,прдк= V,нп=инф,несов PR= S,муж,неод=пр,ед S,муж,неод=(вин,ед|им,ед) 	1
1	читать старо словянский	V,несов,пе=инф A=ед,кр,сред A=(вин,ед,полн,муж,неод|им,ед,полн,муж) 	1
1	состоиться	V,нп=инф,сов 	1
1	место встречи изменить нельзя	S,сред,неод=(вин,ед|им,ед) S,жен,неод=(вин,мн|род,ед|им,мн) V,пе=инф,сов ADV,прдк= 	1
1	как правильно прицепить пусковые конденсаторы к двигателю показать схему	ADVPRO= ADV= V,пе=инф,сов A=(вин,мн,полн,неод|им,мн,полн) S,муж,неод=(вин,мн|им,мн) PR= S,муж,неод=дат,ед V=инф,сов S,жен,неод=вин,ед 	1
1	сравнить климат крыма и сочи	V,пе=инф,сов S,муж,неод=(вин,ед|им,ед) S,гео,муж,неод=род,ед CONJ= S,гео,муж,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	1
1	смотреть шоу тена фигуриста казахстана	V,несов,пе=инф S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,фам,муж,од=(вин,ед|род,ед) S,муж,од=(вин,ед|род,ед) S,гео,муж,неод=род,ед 	1
1	ереван показать новые постройки фото видео	S,гео,муж,неод=(вин,ед|им,ед) V=инф,сов A=(вин,мн,полн,неод|им,мн,полн) S,жен,неод=(вин,мн|род,ед|им,мн) S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) 	1
1	показать кузькину мать	V=инф,сов A,полн,притяж=(дат,ед,муж|дат,ед,сред|вин,ед,жен) S,жен,од=(вин,ед|им,ед) 	1
1	скачать гост 14014 91 приборы и преобразователи измерительные цифровые напряжения тока сопротивления общие технические требования и методы испытаний	V,сов,пе=инф S,муж,неод=(вин,ед|им,ед) S,муж,неод=(вин,мн|им,мн) CONJ= S,муж,неод=(вин,мн|им,мн) A=(вин,мн,полн,неод|им,мн,полн) A=(вин,мн,полн,неод|им,мн,полн) S,сред,неод=(вин,мн|род,ед|им,мн) S,муж,неод=(вин,мн|род,ед|им,мн) S,сред,неод=(вин,мн|род,ед|им,мн) A=(вин,мн,полн,неод|им,мн,полн) A=(вин,мн,полн,неод|им,мн,полн) S,сред,неод=(вин,мн|род,ед|им,мн) CONJ= S,муж,неод=(вин,мн|им,мн) S,сред,неод=род,мн 	1
1	изнывать	V,нп=инф,несов 	1
1	привезти	V=инф,сов 	1
1	играть соник адвентюр	V,несов,пе=инф S,муж,неод=(вин,ед|им,ед) S,имя,муж,од=им,ед 	1
1	может паук каракурт напасть на человека	ADV,вводн= S,муж,од=им,ед S,муж,од=им,ед V,нп=инф,сов PR= S,муж,од=(вин,ед|род,ед) 	1
1	как позвать такси в гта сан андрес	ADVPRO= V,сов,пе=инф S,сред,неод=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) PR= S,мн,неод=(вин|им) S,муж,неод=(вин,ед|им,ед) S,имя,муж,од=им,ед 	1
1	человеку свойственно заблуждаться на латыни	S,муж,од=дат,ед A=ед,кр,сред V,несов,нп=инф PR= S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	1
1	заниматься	V,нп=инф,несов 	1
1	как удобрять человеческим калом	ADVPRO= V,пе=инф,несов A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,муж,неод=твор,ед 	1
1	убрать из друзей википедия	V=инф,сов PR= S,муж,од=(вин,мн|род,мн) S,жен,неод=им,ед 	1
1	к какой группе должностей гражданской службы относиться заместитель начальника управления	PR= APRO=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен|вин,ед,муж,неод|им,ед,муж) S,жен,неод=(пр,ед|дат,ед) S,жен,неод=род,мн A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(вин,мн|род,ед|им,мн) V,нп=инф,несов S,муж,од=им,ед S,муж,од=(вин,ед|род,ед) S,сред,неод=(вин,мн|род,ед|им,мн) 	1
1	смотреть карту п.большевик херсонской области	V,несов,пе=инф S,жен,неод=вин,ед S,сокр=(пр,мн|пр,ед|вин,мн|вин,ед|дат,мн|дат,ед|род,мн|род,ед|твор,мн|твор,ед|им,мн|им,ед) S,муж,од=им,ед A=(пр,ед,полн,жен|дат,ед,полн,жен|род,ед,полн,жен|твор,ед,полн,жен) S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) 	1
1	какой поэт написал-можно быть дельным человеком	APRO=(пр,ед,жен|дат,ед,жен|род,ед,жен|твор,ед,жен|вин,ед,муж,неод|им,ед,муж) S,муж,од=им,ед V,сов,пе=прош,ед,изъяв,муж ADV,прдк= V,нп=инф,несов A=(дат,мн,полн|твор,ед,полн,муж|твор,ед,полн,сред) S,муж,од=твор,ед 	1
1	площать территории хабаровского края	V,пе=инф,несов S,жен,неод=(пр,ед|вин,мн|дат,ед|род,ед|им,мн) A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,муж,неод=(вин,мн|род,ед|им,мн) 	1
1	место встречи изменить нельзя	S,сред,неод=(вин,ед|им,ед) S,жен,неод=(вин,мн|род,ед|им,мн) V,пе=инф,сов ADV,прдк= 	1
1	пираты карибского моря черный флаг кингстон как отктыть таверну	S,муж,од=им,мн A=(вин,ед,полн,муж,од|род,ед,полн,муж|род,ед,полн,сред) S,сред,неод=(вин,мн|род,ед|им,мн) A=(вин,ед,полн,муж,неод|им,ед,полн,муж) S,муж,неод=(вин,ед|им,ед) S,муж,неод=(вин,ед|им,ед) CONJ= V,сов,нп=инф S,жен,неод=вин,ед 	1
1	остаться в живых телесериал	V,нп=инф,сов PR= A=(пр,мн,полн|вин,мн,полн,од|род,мн,полн) S,муж,неод=(вин,ед|им,ед) 	1
1	кардинал де брисар поющие в терновнике смотреть онлайн	S,муж,од=им,ед PART= S,имя,муж,од=им,ед V,несов,пе=(непрош,им,мн,прич,полн,действ|непрош,вин,мн,прич,полн,действ,неод) PR= S,муж,неод=пр,ед V,несов,пе=инф ADV= 	1
1	где замерять раму на велосипед	ADVPRO= V,несов=инф,пе S,жен,неод=вин,ед PR= S,муж,неод=(вин,ед|им,ед) 	1
1	что значит кремировать	SPRO,ед,сред,неод=(вин|им) V,несов,пе=непрош,ед,изъяв,3-л V,пе=(инф,несов|инф,сов) 	1
1	место встречи изменить нельзя	S,сред,неод=(вин,ед|им,ед) S,жен,неод=(вин,мн|род,ед|им,мн) V,пе=инф,сов ADV,прдк= 	1
